epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,33.8226,1.69887,0.5,0.7875,1.77114,0.000323529,0.000323529,0.0679706
2,68.5265,1.35826,0.4875,0.9375,1.56064,0.000652527,0.000652527,0.0349663
3,106.904,1.24065,0.4875,0.93125,1.59823,0.000977125,0.000977125,0.00195752
4,142.217,1.18868,0.49375,0.95,1.49852,0.0009802,0.0009802,0.0009802
5,176.098,1.14667,0.4875,0.925,1.41394,0.0009736,0.0009736,0.0009736
6,209.467,1.09132,0.475,0.98125,1.41003,0.000967,0.000967,0.000967
7,243.536,1.069,0.5125,0.96875,1.3327,0.0009604,0.0009604,0.0009604
8,277.532,1.03829,0.50625,0.96875,1.36104,0.0009538,0.0009538,0.0009538
9,311.466,1.00455,0.5125,0.975,1.24835,0.0009472,0.0009472,0.0009472
10,345.41,0.97491,0.5375,0.98125,1.20308,0.0009406,0.0009406,0.0009406
11,378.525,0.93867,0.575,0.9875,1.12408,0.000934,0.000934,0.000934
12,412.753,0.9175,0.59375,0.9875,1.14523,0.0009274,0.0009274,0.0009274
13,445.925,0.9577,0.575,0.98125,1.12081,0.0009208,0.0009208,0.0009208
14,479.195,0.94755,0.525,0.9375,1.49489,0.0009142,0.0009142,0.0009142
15,512.926,0.93149,0.58125,0.9875,1.46616,0.0009076,0.0009076,0.0009076
16,546.567,0.86493,0.64375,1,0.96482,0.000901,0.000901,0.000901
17,580.809,0.85853,0.58125,0.9875,1.15774,0.0008944,0.0008944,0.0008944
18,614.927,0.88636,0.66875,1,0.9315,0.0008878,0.0008878,0.0008878
19,648.796,0.76527,0.63125,0.98125,0.9566,0.0008812,0.0008812,0.0008812
20,682.944,0.75923,0.6625,0.9875,0.95551,0.0008746,0.0008746,0.0008746
21,717.302,0.74806,0.71875,0.99375,0.82452,0.000868,0.000868,0.000868
22,750.309,0.73748,0.7,0.96875,0.92378,0.0008614,0.0008614,0.0008614
23,783.713,0.75591,0.65,0.9875,0.92738,0.0008548,0.0008548,0.0008548
24,817.146,0.72029,0.7,0.99375,0.85874,0.0008482,0.0008482,0.0008482
25,850.435,0.73831,0.675,0.9875,0.89951,0.0008416,0.0008416,0.0008416
26,883.636,0.71389,0.6375,0.9875,1.06795,0.000835,0.000835,0.000835
27,917.3,0.60905,0.7375,0.98125,0.76812,0.0008284,0.0008284,0.0008284
28,950.455,0.69728,0.68125,0.975,0.9196,0.0008218,0.0008218,0.0008218
29,983.817,0.59761,0.66875,0.96875,0.90116,0.0008152,0.0008152,0.0008152
30,1017.4,0.59555,0.675,0.975,1.0673,0.0008086,0.0008086,0.0008086
31,1050.35,0.60078,0.71875,0.975,0.84602,0.000802,0.000802,0.000802
32,1083.76,0.59908,0.7625,0.975,0.74809,0.0007954,0.0007954,0.0007954
33,1117.26,0.56621,0.75625,0.9875,0.74005,0.0007888,0.0007888,0.0007888
34,1150.58,0.57981,0.74375,0.9875,0.78844,0.0007822,0.0007822,0.0007822
35,1183.9,0.55265,0.775,0.9875,0.69483,0.0007756,0.0007756,0.0007756
36,1217.23,0.54241,0.74375,0.98125,0.75059,0.000769,0.000769,0.000769
37,1250.5,0.55727,0.74375,0.96875,0.80486,0.0007624,0.0007624,0.0007624
38,1283.73,0.54491,0.7625,0.99375,0.78565,0.0007558,0.0007558,0.0007558
39,1317.22,0.55883,0.7625,0.9875,0.77488,0.0007492,0.0007492,0.0007492
40,1350.29,0.50466,0.7625,0.9875,0.77033,0.0007426,0.0007426,0.0007426
41,1383.53,0.56655,0.7625,0.9875,0.73265,0.000736,0.000736,0.000736
42,1416.55,0.49394,0.775,1,0.73938,0.0007294,0.0007294,0.0007294
43,1449.87,0.45266,0.76875,1,0.67541,0.0007228,0.0007228,0.0007228
44,1482.84,0.52764,0.775,1,0.68053,0.0007162,0.0007162,0.0007162
45,1516.09,0.49479,0.7375,0.9875,0.74454,0.0007096,0.0007096,0.0007096
46,1549.53,0.54495,0.7875,0.99375,0.67932,0.000703,0.000703,0.000703
47,1582.81,0.50621,0.74375,0.99375,0.68328,0.0006964,0.0006964,0.0006964
48,1615.74,0.4694,0.74375,0.99375,0.76741,0.0006898,0.0006898,0.0006898
49,1649.34,0.4719,0.775,0.9875,0.7203,0.0006832,0.0006832,0.0006832
50,1682.63,0.45716,0.75,1,0.69663,0.0006766,0.0006766,0.0006766
51,1715.95,0.53609,0.75625,1,0.76342,0.00067,0.00067,0.00067
52,1749.37,0.46725,0.7875,1,0.76858,0.0006634,0.0006634,0.0006634
53,1782.47,0.47472,0.75,0.99375,0.72806,0.0006568,0.0006568,0.0006568
54,1815.68,0.43476,0.775,1,0.67227,0.0006502,0.0006502,0.0006502
55,1848.85,0.45695,0.81875,1,0.65068,0.0006436,0.0006436,0.0006436
56,1882.17,0.44106,0.74375,1,0.77448,0.000637,0.000637,0.000637
57,1915.33,0.43947,0.74375,1,0.72602,0.0006304,0.0006304,0.0006304
58,1948.28,0.44064,0.76875,1,0.77064,0.0006238,0.0006238,0.0006238
59,1981.65,0.44286,0.80625,0.99375,0.72688,0.0006172,0.0006172,0.0006172
60,2014.5,0.40718,0.83125,0.9875,0.64313,0.0006106,0.0006106,0.0006106
61,2047.49,0.45124,0.79375,0.9875,0.73531,0.000604,0.000604,0.000604
62,2080.9,0.37688,0.8125,1,0.59335,0.0005974,0.0005974,0.0005974
63,2113.79,0.39155,0.79375,1,0.61888,0.0005908,0.0005908,0.0005908
64,2147.32,0.3955,0.80625,0.99375,0.6903,0.0005842,0.0005842,0.0005842
65,2180.83,0.3784,0.79375,0.99375,0.70225,0.0005776,0.0005776,0.0005776
66,2214.14,0.34762,0.78125,1,0.68048,0.000571,0.000571,0.000571
67,2247.66,0.41045,0.80625,0.99375,0.65727,0.0005644,0.0005644,0.0005644
68,2281.11,0.40633,0.81875,0.99375,0.62317,0.0005578,0.0005578,0.0005578
69,2314.2,0.37378,0.7875,0.99375,0.6508,0.0005512,0.0005512,0.0005512
70,2347.29,0.35107,0.76875,0.9875,0.61556,0.0005446,0.0005446,0.0005446
71,2380.88,0.34884,0.81875,0.99375,0.60401,0.000538,0.000538,0.000538
72,2413.96,0.3793,0.825,0.9875,0.60477,0.0005314,0.0005314,0.0005314
73,2447.14,0.37786,0.8125,0.99375,0.57847,0.0005248,0.0005248,0.0005248
74,2480.31,0.37937,0.85625,1,0.52752,0.0005182,0.0005182,0.0005182
75,2513.5,0.3308,0.80625,0.98125,0.71185,0.0005116,0.0005116,0.0005116
76,2546.92,0.37319,0.825,0.9875,0.73944,0.000505,0.000505,0.000505
77,2580.58,0.34107,0.8125,0.9875,0.79328,0.0004984,0.0004984,0.0004984
78,2614.17,0.40478,0.83125,0.9875,0.66031,0.0004918,0.0004918,0.0004918
79,2647.27,0.34468,0.81875,0.99375,0.58916,0.0004852,0.0004852,0.0004852
80,2679.9,0.35793,0.78125,1,0.67986,0.0004786,0.0004786,0.0004786
81,2713.61,0.33302,0.825,0.99375,0.58035,0.000472,0.000472,0.000472
82,2746.91,0.34839,0.84375,0.9875,0.59054,0.0004654,0.0004654,0.0004654
83,2779.13,0.31902,0.80625,0.9875,0.6602,0.0004588,0.0004588,0.0004588
84,2809.04,0.31671,0.775,0.9875,0.73045,0.0004522,0.0004522,0.0004522
85,2839.27,0.32865,0.8375,0.99375,0.67688,0.0004456,0.0004456,0.0004456
86,2869.21,0.35053,0.80625,1,0.64538,0.000439,0.000439,0.000439
87,2899.18,0.30249,0.79375,0.99375,0.63097,0.0004324,0.0004324,0.0004324
88,2928.89,0.35847,0.8125,1,0.60766,0.0004258,0.0004258,0.0004258
89,2958.66,0.28449,0.825,1,0.63974,0.0004192,0.0004192,0.0004192
90,2988.5,0.28153,0.8375,0.99375,0.59449,0.0004126,0.0004126,0.0004126
91,3018.57,0.30976,0.8375,0.9875,0.63413,0.000406,0.000406,0.000406
92,3048.77,0.33813,0.8125,0.9875,0.69543,0.0003994,0.0003994,0.0003994
93,3078.64,0.31538,0.825,0.9875,0.66759,0.0003928,0.0003928,0.0003928
94,3108.49,0.3002,0.80625,0.9875,0.67291,0.0003862,0.0003862,0.0003862
95,3138.27,0.29645,0.85,0.9875,0.61411,0.0003796,0.0003796,0.0003796
96,3168.23,0.30745,0.825,0.9875,0.6249,0.000373,0.000373,0.000373
97,3198.08,0.32147,0.83125,1,0.5733,0.0003664,0.0003664,0.0003664
98,3227.8,0.29206,0.81875,0.99375,0.6101,0.0003598,0.0003598,0.0003598
99,3257.44,0.26337,0.81875,1,0.64222,0.0003532,0.0003532,0.0003532
100,3287.29,0.28743,0.8375,1,0.66137,0.0003466,0.0003466,0.0003466
101,3317.25,0.28319,0.81875,0.99375,0.68837,0.00034,0.00034,0.00034
102,3347.24,0.24927,0.81875,1,0.62085,0.0003334,0.0003334,0.0003334
103,3377.07,0.24746,0.8125,0.9875,0.57259,0.0003268,0.0003268,0.0003268
104,3406.94,0.30242,0.85625,0.9875,0.55514,0.0003202,0.0003202,0.0003202
